iter	RMSE
0	0.9755037655
1	0.9479713562
2	0.9213143172
3	0.8983453428
4	0.8725300795
5	0.8492577373
6	0.8268753346
7	0.8027777147
8	0.7776770849
9	0.756921064
10	0.7387467712
11	0.7185561362
12	0.69742967
13	0.6793318916
14	0.6637407824
15	0.6511191407
16	0.6342076421
17	0.6164584733
18	0.6019167846
19	0.5877460018
20	0.57437599
21	0.558823093
22	0.5432055519
23	0.5296763897
24	0.5185984622
25	0.5045566706
26	0.4945094744
27	0.4841837713
28	0.4739234642
29	0.4643289447
30	0.4514873711
31	0.4407036207
32	0.4328517014
33	0.425194359
34	0.4159077548
35	0.4078546766
36	0.4004771011
37	0.3918805542
38	0.3849930937
39	0.3782689793
40	0.3708136099
41	0.3640016946
42	0.3570961441
43	0.3499946794
44	0.3438742527
45	0.3366399095
46	0.3305715336
47	0.325168015
48	0.3202783044
49	0.3153361679
50	0.3099381053
51	0.3045252005
52	0.3003010892
53	0.2958583676
54	0.2905743089
55	0.2842723747
56	0.2791925102
57	0.2745031806
58	0.2708502644
59	0.2668818659
60	0.2628971022
61	0.2588363667
62	0.2555326368
63	0.2512759014
64	0.2475034735
65	0.2445433868
66	0.2413485972
67	0.2367455648
68	0.2338508081
69	0.2304431447
70	0.2278101767
71	0.2252952037
72	0.2225746145
73	0.2189318165
74	0.2156662423
75	0.2128225957
76	0.2110788676
77	0.2085122691
78	0.206164008
79	0.2039300846
80	0.2018095804
81	0.199314965
82	0.1970596839
83	0.1950429533
84	0.1923092021
85	0.1901333493
86	0.1883037496
87	0.1862276407
88	0.1843712489
89	0.1823572484
90	0.1810741549
91	0.1790927712
92	0.1765837803
93	0.1740331801
94	0.1724033489
95	0.1705262192
96	0.1687556071
97	0.1673268784
98	0.165243045
99	0.1634785837
100	0.1616146278
101	0.1595451672
102	0.1576231501
103	0.1559741389
104	0.1545816406
105	0.1527846373
106	0.1510727104
107	0.1496989659
108	0.1483118567
109	0.1464687679
110	0.1454752434
111	0.1442167202
112	0.1431954728
113	0.141842776
114	0.1403130842
115	0.1392374995
116	0.1376984521
117	0.136543199
118	0.1352908945
119	0.1343437662
120	0.1331165761
121	0.1321796976
122	0.1313117642
123	0.1301000772
124	0.1287015537
125	0.1275298274
126	0.1265147221
127	0.1254837111
128	0.1243710343
129	0.1233592785
130	0.1228154631
131	0.1221225674
132	0.1209456017
133	0.1199431104
134	0.1189553977
135	0.1180375584
136	0.116995638
137	0.1161260156
138	0.1153329914
139	0.1144418004
140	0.1136570886
141	0.1128389938
142	0.1120763793
143	0.1111374723
144	0.1101758793
145	0.1095537572
146	0.1086766256
147	0.1078731996
148	0.1070157991
149	0.1062524509
150	0.1054829616
151	0.104783063
152	0.104004501
153	0.1036033921
154	0.1029135765
155	0.1021704993
156	0.1014175212
157	0.1006495504
158	0.09994718746
159	0.09899559175
160	0.09822856836
161	0.09709645745
162	0.09653515477
163	0.09570768121
164	0.09506248588
165	0.09432708186
