iter	Passed	Remaining
0	184	40344
1	213	23282
2	240	17404
3	267	14458
4	295	12696
5	323	11528
6	351	10685
7	378	10025
8	405	9504
9	431	9071
10	460	8750
11	488	8462
12	515	8200
13	543	7995
14	571	7812
15	598	7633
16	626	7476
17	653	7330
18	679	7191
19	706	7067
20	733	6954
21	760	6847
22	788	6756
23	818	6682
24	848	6619
25	880	6570
26	913	6527
27	951	6523
28	981	6462
29	1013	6415
30	1052	6416
31	1101	6473
32	1129	6400
33	1160	6347
34	1188	6283
35	1217	6221
36	1245	6160
37	1271	6091
38	1298	6028
39	1328	5979
40	1357	5926
41	1436	6088
42	1479	6091
43	1509	6037
44	1542	5997
45	1579	5973
46	1616	5951
47	1651	5918
48	1691	5903
49	1719	5845
50	1746	5787
51	1772	5727
52	1801	5676
53	1830	5625
54	1857	5571
55	1884	5519
56	1911	5466
57	1937	5411
58	1964	5359
59	1991	5310
60	2017	5258
61	2044	5209
62	2072	5164
63	2099	5118
64	2127	5073
65	2156	5031
66	2183	4987
67	2210	4941
68	2238	4898
69	2265	4855
70	2292	4811
71	2321	4771
72	2348	4729
73	2376	4688
74	2411	4662
75	2446	4634
76	2476	4598
77	2506	4562
78	2534	4522
79	2564	4487
80	2592	4449
81	2622	4413
82	2652	4378
83	2681	4341
84	2709	4303
85	2738	4266
86	2766	4229
87	2796	4194
88	2828	4163
89	2856	4126
90	2883	4087
91	2912	4052
92	2940	4015
93	2968	3979
94	2995	3941
95	3025	3907
96	3053	3872
97	3083	3839
98	3112	3803
99	3139	3767
100	3168	3733
101	3196	3697
102	3223	3661
103	3249	3624
104	3277	3589
105	3305	3554
106	3333	3519
107	3359	3483
108	3385	3447
109	3412	3412
110	3439	3377
111	3474	3350
112	3503	3317
113	3531	3283
114	3561	3252
115	3592	3221
116	3622	3188
117	3654	3159
118	3686	3128
119	3720	3100
120	3756	3073
121	3787	3042
122	3819	3012
123	3848	2979
124	3884	2951
125	3913	2919
126	3941	2885
127	3968	2852
128	3997	2820
129	4034	2792
130	4061	2759
131	4091	2727
132	4121	2696
133	4149	2663
134	4178	2630
135	4206	2598
136	4235	2565
137	4262	2532
138	4289	2499
139	4317	2467
140	4346	2435
141	4374	2402
142	4401	2370
143	4433	2339
144	4462	2308
145	4491	2276
146	4520	2244
147	4548	2212
148	4578	2181
149	4607	2150
150	4635	2118
151	4663	2086
152	4690	2054
153	4718	2022
154	4745	1990
155	4775	1959
156	4803	1927
157	4833	1896
158	4860	1864
159	4887	1832
160	4914	1801
161	4942	1769
162	4969	1737
163	4998	1706
164	5032	1677
165	5064	1647
