city,timestamp,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi
Delhi,2025-04-25 00:00:00+00:00,84.8,404.2,1100.0,33.5,15.5,33.0,150
Delhi,2025-04-25 01:00:00+00:00,91.7,387.4,1124.0,38.1,18.2,53.0,150
Delhi,2025-04-25 02:00:00+00:00,95.9,285.0,1140.0,43.9,22.0,82.0,150
Delhi,2025-04-25 03:00:00+00:00,92.2,280.3,1088.0,45.0,25.9,113.0,150
Delhi,2025-04-25 04:00:00+00:00,81.0,267.3,906.0,36.8,30.7,150.0,151
Delhi,2025-04-25 05:00:00+00:00,64.7,222.6,655.0,23.8,35.5,189.0,151
Delhi,2025-04-25 06:00:00+00:00,44.9,170.9,454.0,13.3,36.3,213.0,151
Delhi,2025-04-25 07:00:00+00:00,31.8,144.8,350.0,7.8,29.5,210.0,151
Delhi,2025-04-25 08:00:00+00:00,26.3,151.3,295.0,4.7,18.7,193.0,152
Delhi,2025-04-25 09:00:00+00:00,23.5,152.3,265.0,3.5,10.8,177.0,152
Delhi,2025-04-25 10:00:00+00:00,23.1,155.5,247.0,3.6,8.9,172.0,151
Delhi,2025-04-25 11:00:00+00:00,24.2,161.1,253.0,5.5,10.0,170.0,163
Delhi,2025-04-25 12:00:00+00:00,27.2,179.3,301.0,10.6,12.4,167.0,173
Delhi,2025-04-25 13:00:00+00:00,34.1,206.8,408.0,15.6,14.5,152.0,175
Delhi,2025-04-25 14:00:00+00:00,42.7,226.8,556.0,22.7,17.4,131.0,169
Delhi,2025-04-25 15:00:00+00:00,46.0,222.6,705.0,28.6,19.7,112.0,156
Delhi,2025-04-25 16:00:00+00:00,46.0,195.6,856.0,31.7,20.8,100.0,151
Delhi,2025-04-25 17:00:00+00:00,44.7,155.5,1009.0,33.7,21.3,90.0,150
Delhi,2025-04-25 18:00:00+00:00,45.4,142.0,1122.0,36.6,22.0,80.0,150
Delhi,2025-04-25 19:00:00+00:00,49.0,141.6,1184.0,41.9,23.3,68.0,149
Delhi,2025-04-25 20:00:00+00:00,51.8,136.9,1207.0,48.0,24.7,56.0,147
Delhi,2025-04-25 21:00:00+00:00,52.6,127.1,1185.0,52.6,26.0,47.0,145
Delhi,2025-04-25 22:00:00+00:00,52.9,114.6,1058.0,54.2,26.7,39.0,144
Delhi,2025-04-25 23:00:00+00:00,51.8,102.4,887.0,54.1,27.3,35.0,141
Delhi,2025-04-26 00:00:00+00:00,65.9,182.5,847.0,53.1,26.2,40.0,139
Delhi,2025-04-26 01:00:00+00:00,70.1,173.2,1124.0,55.2,27.7,58.0,137
Delhi,2025-04-26 02:00:00+00:00,81.7,149.0,1533.0,57.4,29.8,85.0,135
Delhi,2025-04-26 03:00:00+00:00,61.9,106.9,1693.0,54.7,30.7,114.0,133
Delhi,2025-04-26 04:00:00+00:00,40.6,74.0,1345.0,42.2,29.7,149.0,130
Delhi,2025-04-26 05:00:00+00:00,28.0,56.8,748.0,24.7,27.5,186.0,126
Delhi,2025-04-26 06:00:00+00:00,20.0,53.1,302.0,11.3,25.1,213.0,122
Delhi,2025-04-26 07:00:00+00:00,16.3,50.5,185.0,6.0,22.4,223.0,120
Delhi,2025-04-26 08:00:00+00:00,17.1,61.5,219.0,4.8,19.4,223.0,118
Delhi,2025-04-26 09:00:00+00:00,19.4,75.7,264.0,5.3,17.5,219.0,133
Delhi,2025-04-26 10:00:00+00:00,21.2,85.7,274.0,6.0,17.2,217.0,163
Delhi,2025-04-26 11:00:00+00:00,22.3,88.2,295.0,8.2,18.1,211.0,184
Delhi,2025-04-26 12:00:00+00:00,41.2,187.7,333.0,20.5,19.9,188.0,199
Delhi,2025-04-26 13:00:00+00:00,50.9,209.1,402.0,30.1,21.6,155.0,202
Delhi,2025-04-26 14:00:00+00:00,62.9,231.0,488.0,43.2,23.8,110.0,200
Delhi,2025-04-26 15:00:00+00:00,74.5,306.4,546.0,51.1,24.8,76.0,184
Delhi,2025-04-26 16:00:00+00:00,86.1,376.3,557.0,49.6,23.8,64.0,161
Delhi,2025-04-26 17:00:00+00:00,89.2,405.1,542.0,43.1,21.5,63.0,130
Delhi,2025-04-26 18:00:00+00:00,78.0,370.7,517.0,35.7,18.8,66.0,133
Delhi,2025-04-26 19:00:00+00:00,66.4,337.1,476.0,27.6,15.3,72.0,137
