city,timestamp,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi
Jaipur,2025-04-25 00:00:00+00:00,23.9,97.3,269.0,12.7,3.9,48.0,111
Jaipur,2025-04-25 01:00:00+00:00,23.3,112.9,301.0,11.4,4.3,63.0,110
Jaipur,2025-04-25 02:00:00+00:00,27.5,151.8,335.0,9.5,4.8,84.0,109
Jaipur,2025-04-25 03:00:00+00:00,23.6,134.1,342.0,7.5,5.1,103.0,109
Jaipur,2025-04-25 04:00:00+00:00,23.0,165.3,298.0,5.5,4.8,117.0,108
Jaipur,2025-04-25 05:00:00+00:00,27.6,205.8,228.0,3.4,4.3,129.0,106
Jaipur,2025-04-25 06:00:00+00:00,29.3,212.8,176.0,1.9,3.8,138.0,105
Jaipur,2025-04-25 07:00:00+00:00,28.7,217.5,162.0,1.2,3.5,141.0,105
Jaipur,2025-04-25 08:00:00+00:00,28.2,225.4,167.0,1.1,3.3,141.0,104
Jaipur,2025-04-25 09:00:00+00:00,28.2,222.1,173.0,1.1,3.1,141.0,102
Jaipur,2025-04-25 10:00:00+00:00,27.3,209.1,172.0,0.4,2.9,144.0,101
Jaipur,2025-04-25 11:00:00+00:00,25.6,189.1,172.0,0.0,2.8,147.0,100
Jaipur,2025-04-25 12:00:00+00:00,24.2,192.8,184.0,2.3,2.9,145.0,100
Jaipur,2025-04-25 13:00:00+00:00,24.9,165.8,221.0,7.8,3.6,129.0,106
Jaipur,2025-04-25 14:00:00+00:00,25.8,126.2,270.0,15.4,4.7,106.0,106
Jaipur,2025-04-25 15:00:00+00:00,28.2,122.0,301.0,20.8,5.4,88.0,99
Jaipur,2025-04-25 16:00:00+00:00,29.3,118.5,295.0,22.0,5.6,79.0,98
Jaipur,2025-04-25 17:00:00+00:00,30.2,120.1,271.0,21.1,5.6,76.0,99
Jaipur,2025-04-25 18:00:00+00:00,29.6,119.2,251.0,19.2,5.3,74.0,100
Jaipur,2025-04-25 19:00:00+00:00,27.0,115.5,242.0,16.4,4.7,75.0,101
Jaipur,2025-04-25 20:00:00+00:00,24.1,107.1,236.0,12.7,4.0,78.0,102
Jaipur,2025-04-25 21:00:00+00:00,21.5,102.2,236.0,9.7,3.4,79.0,102
Jaipur,2025-04-25 22:00:00+00:00,20.0,108.0,243.0,7.9,3.0,77.0,102
Jaipur,2025-04-25 23:00:00+00:00,18.7,109.9,256.0,6.8,2.8,73.0,100
Jaipur,2025-04-26 00:00:00+00:00,19.5,123.9,272.0,6.1,2.9,71.0,99
Jaipur,2025-04-26 01:00:00+00:00,19.5,119.7,298.0,6.5,3.3,76.0,99
Jaipur,2025-04-26 02:00:00+00:00,21.9,127.6,328.0,6.9,3.8,83.0,99
Jaipur,2025-04-26 03:00:00+00:00,20.1,122.0,334.0,6.7,4.0,93.0,99
Jaipur,2025-04-26 04:00:00+00:00,24.5,176.0,296.0,5.1,3.8,110.0,98
Jaipur,2025-04-26 05:00:00+00:00,31.5,245.9,235.0,2.9,3.3,129.0,99
Jaipur,2025-04-26 06:00:00+00:00,26.8,212.3,189.0,1.2,2.9,143.0,100
Jaipur,2025-04-26 07:00:00+00:00,23.0,181.1,175.0,0.7,2.6,146.0,100
Jaipur,2025-04-26 08:00:00+00:00,22.5,181.1,177.0,0.9,2.4,144.0,99
Jaipur,2025-04-26 09:00:00+00:00,22.9,187.7,183.0,1.2,2.3,141.0,98
Jaipur,2025-04-26 10:00:00+00:00,22.6,184.9,181.0,1.1,2.2,142.0,97
Jaipur,2025-04-26 11:00:00+00:00,21.7,174.2,184.0,1.1,2.2,142.0,97
Jaipur,2025-04-26 12:00:00+00:00,16.0,107.8,211.0,2.0,2.5,141.0,100
Jaipur,2025-04-26 13:00:00+00:00,15.8,85.0,279.0,5.9,3.1,128.0,106
Jaipur,2025-04-26 14:00:00+00:00,23.3,113.9,371.0,11.2,3.8,111.0,106
Jaipur,2025-04-26 15:00:00+00:00,38.3,254.3,464.0,14.8,4.5,98.0,99
Jaipur,2025-04-26 16:00:00+00:00,43.3,300.8,564.0,14.9,4.8,96.0,95
Jaipur,2025-04-26 17:00:00+00:00,34.9,210.0,664.0,13.3,5.1,98.0,99
Jaipur,2025-04-26 18:00:00+00:00,34.8,191.4,717.0,12.5,5.3,99.0,101
Jaipur,2025-04-26 19:00:00+00:00,35.2,179.7,688.0,13.8,5.7,96.0,103
Jaipur,2025-04-26 20:00:00+00:00,34.5,160.2,612.0,15.8,6.1,92.0,104
Jaipur,2025-04-26 21:00:00+00:00,33.8,146.2,546.0,17.0,6.3,86.0,105
Jaipur,2025-04-26 22:00:00+00:00,33.6,136.9,511.0,16.5,5.9,77.0,106
Jaipur,2025-04-26 23:00:00+00:00,31.7,130.9,486.0,15.3,5.2,66.0,107
Jaipur,2025-04-27 00:00:00+00:00,28.0,117.1,462.0,13.1,4.2,58.0,107
Jaipur,2025-04-27 01:00:00+00:00,29.2,115.9,440.0,12.8,4.4,71.0,107
Jaipur,2025-04-27 02:00:00+00:00,29.8,94.5,420.0,12.3,4.8,89.0,107
Jaipur,2025-04-27 03:00:00+00:00,26.5,107.6,386.0,11.0,5.0,109.0,106
Jaipur,2025-04-27 04:00:00+00:00,26.8,150.4,323.0,8.0,5.1,131.0,106
Jaipur,2025-04-27 05:00:00+00:00,29.8,190.0,247.0,4.2,5.1,155.0,105
Jaipur,2025-04-27 06:00:00+00:00,31.9,202.6,193.0,1.4,5.1,172.0,104
Jaipur,2025-04-27 07:00:00+00:00,30.9,190.0,178.0,0.6,5.1,179.0,104
Jaipur,2025-04-27 08:00:00+00:00,29.5,176.0,184.0,0.8,5.1,180.0,104
Jaipur,2025-04-27 09:00:00+00:00,28.4,165.3,193.0,1.2,5.1,179.0,104
Jaipur,2025-04-27 10:00:00+00:00,27.6,158.3,194.0,0.4,4.7,181.0,120
