city,timestamp,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi
Kanpur,2025-04-23 00:00:00+00:00,77.8,450.8,382.0,9.4,9.9,80.0,407
Kanpur,2025-04-23 01:00:00+00:00,78.9,439.6,391.0,9.0,11.4,93.0,405
Kanpur,2025-04-23 02:00:00+00:00,79.4,410.7,392.0,8.7,13.1,111.0,402
Kanpur,2025-04-23 03:00:00+00:00,79.9,419.1,375.0,7.8,13.7,130.0,400
Kanpur,2025-04-23 04:00:00+00:00,78.0,468.5,324.0,5.8,12.2,149.0,395
Kanpur,2025-04-23 05:00:00+00:00,60.8,421.0,256.0,3.3,9.6,168.0,393
Kanpur,2025-04-23 06:00:00+00:00,42.3,355.8,205.0,1.5,7.5,181.0,392
Kanpur,2025-04-23 07:00:00+00:00,41.4,385.6,190.0,0.9,6.5,182.0,391
Kanpur,2025-04-23 08:00:00+00:00,44.2,428.4,192.0,0.9,5.9,177.0,390
Kanpur,2025-04-23 09:00:00+00:00,48.5,476.8,196.0,1.2,5.7,172.0,389
Kanpur,2025-04-23 10:00:00+00:00,53.2,521.5,193.0,1.6,5.8,171.0,387
Kanpur,2025-04-23 11:00:00+00:00,56.6,540.2,191.0,2.2,6.2,170.0,383
Kanpur,2025-04-23 12:00:00+00:00,71.9,687.3,197.0,3.8,7.5,179.0,378
Kanpur,2025-04-23 13:00:00+00:00,76.4,659.4,213.0,5.4,8.1,165.0,381
Kanpur,2025-04-23 14:00:00+00:00,74.7,581.1,237.0,7.6,8.8,146.0,382
Kanpur,2025-04-23 15:00:00+00:00,74.3,543.9,265.0,9.4,9.4,129.0,384
Kanpur,2025-04-23 16:00:00+00:00,75.0,530.9,302.0,10.3,9.6,119.0,386
Kanpur,2025-04-23 17:00:00+00:00,75.9,530.9,344.0,10.7,9.5,111.0,387
Kanpur,2025-04-23 18:00:00+00:00,75.9,530.9,373.0,10.7,9.4,106.0,388
Kanpur,2025-04-23 19:00:00+00:00,75.7,534.6,378.0,10.0,9.2,105.0,388
Kanpur,2025-04-23 20:00:00+00:00,76.4,543.9,370.0,8.9,8.9,105.0,389
Kanpur,2025-04-23 21:00:00+00:00,77.1,549.5,365.0,8.1,8.7,105.0,390
