city,timestamp,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi
Kolkata,2025-04-23 00:00:00+00:00,24.8,29.4,315.0,5.7,6.0,78.0,105
Kolkata,2025-04-23 01:00:00+00:00,26.3,30.7,354.0,5.4,6.8,84.0,104
Kolkata,2025-04-23 02:00:00+00:00,27.8,32.5,395.0,4.7,7.8,93.0,103
Kolkata,2025-04-23 03:00:00+00:00,31.1,35.6,416.0,4.1,9.0,104.0,102
Kolkata,2025-04-23 04:00:00+00:00,33.3,38.1,405.0,3.5,10.6,120.0,102
Kolkata,2025-04-23 05:00:00+00:00,35.4,41.3,375.0,2.9,12.3,138.0,101
Kolkata,2025-04-23 06:00:00+00:00,37.4,45.8,347.0,2.5,13.5,152.0,101
Kolkata,2025-04-23 07:00:00+00:00,38.3,50.3,323.0,2.2,13.9,161.0,101
Kolkata,2025-04-23 08:00:00+00:00,38.0,53.6,300.0,2.0,13.7,165.0,100
Kolkata,2025-04-23 09:00:00+00:00,36.4,54.8,291.0,2.7,13.4,163.0,100
Kolkata,2025-04-23 10:00:00+00:00,35.0,53.0,308.0,5.1,12.9,150.0,100
Kolkata,2025-04-23 11:00:00+00:00,35.4,47.6,339.0,8.4,12.3,130.0,112
Kolkata,2025-04-23 12:00:00+00:00,43.5,56.6,361.0,12.2,14.0,119.0,117
Kolkata,2025-04-23 13:00:00+00:00,38.9,46.3,362.0,11.0,12.5,104.0,117
Kolkata,2025-04-23 14:00:00+00:00,31.9,36.0,354.0,9.4,10.3,84.0,110
Kolkata,2025-04-23 15:00:00+00:00,27.8,31.4,345.0,8.0,8.5,69.0,97
Kolkata,2025-04-23 16:00:00+00:00,26.3,30.6,342.0,7.2,7.3,65.0,96
Kolkata,2025-04-23 17:00:00+00:00,24.9,29.7,338.0,6.7,6.4,68.0,94
Kolkata,2025-04-23 18:00:00+00:00,23.1,28.1,325.0,6.2,5.7,70.0,93
Kolkata,2025-04-23 19:00:00+00:00,22.2,27.2,291.0,5.6,5.2,71.0,92
Kolkata,2025-04-23 20:00:00+00:00,21.8,26.8,249.0,5.1,4.9,73.0,91
Kolkata,2025-04-23 21:00:00+00:00,21.4,26.4,227.0,4.8,4.9,74.0,90
Kolkata,2025-04-23 22:00:00+00:00,20.7,25.6,246.0,5.1,5.1,72.0,89
Kolkata,2025-04-23 23:00:00+00:00,20.3,25.0,286.0,5.7,5.6,70.0,89
Kolkata,2025-04-24 00:00:00+00:00,21.4,26.2,317.0,6.9,6.6,67.0,88
Kolkata,2025-04-24 01:00:00+00:00,21.5,26.4,329.0,6.1,7.2,74.0,88
Kolkata,2025-04-24 02:00:00+00:00,22.1,27.1,331.0,5.1,7.9,84.0,88
Kolkata,2025-04-24 03:00:00+00:00,23.3,28.2,327.0,4.1,8.5,94.0,87
Kolkata,2025-04-24 04:00:00+00:00,24.3,29.2,312.0,3.3,8.6,104.0,87
Kolkata,2025-04-24 05:00:00+00:00,25.3,30.3,290.0,2.5,8.5,114.0,86
Kolkata,2025-04-24 06:00:00+00:00,25.8,30.9,274.0,2.0,8.4,121.0,85
Kolkata,2025-04-24 07:00:00+00:00,25.9,31.4,269.0,1.7,8.4,125.0,84
Kolkata,2025-04-24 08:00:00+00:00,26.1,32.1,269.0,1.7,8.4,127.0,83
Kolkata,2025-04-24 09:00:00+00:00,26.3,32.5,276.0,2.2,8.5,125.0,82
Kolkata,2025-04-24 10:00:00+00:00,26.5,32.7,294.0,3.7,8.8,117.0,81
Kolkata,2025-04-24 11:00:00+00:00,25.8,31.7,318.0,5.8,9.2,104.0,80
Kolkata,2025-04-24 12:00:00+00:00,34.9,43.0,330.0,7.7,9.4,87.0,79
Kolkata,2025-04-24 13:00:00+00:00,28.3,33.4,318.0,7.6,8.6,76.0,78
Kolkata,2025-04-24 14:00:00+00:00,21.9,26.0,295.0,7.5,7.6,61.0,77
Kolkata,2025-04-24 15:00:00+00:00,18.0,21.9,277.0,7.3,6.6,50.0,77
Kolkata,2025-04-24 16:00:00+00:00,16.5,20.3,275.0,7.0,5.9,47.0,76
Kolkata,2025-04-24 17:00:00+00:00,14.5,18.2,278.0,6.6,5.3,49.0,75
Kolkata,2025-04-24 18:00:00+00:00,12.2,15.7,274.0,6.2,4.8,51.0,74
Kolkata,2025-04-24 19:00:00+00:00,11.0,14.4,253.0,5.7,4.5,52.0,73
Kolkata,2025-04-24 20:00:00+00:00,10.5,14.1,225.0,5.2,4.3,53.0,72
Kolkata,2025-04-24 21:00:00+00:00,10.6,14.2,210.0,5.1,4.4,53.0,71
Kolkata,2025-04-24 22:00:00+00:00,11.0,14.6,218.0,5.7,4.7,50.0,70
Kolkata,2025-04-24 23:00:00+00:00,11.7,15.3,239.0,6.6,5.1,47.0,69
Kolkata,2025-04-25 00:00:00+00:00,13.2,16.9,259.0,8.0,6.6,48.0,68
Kolkata,2025-04-25 01:00:00+00:00,14.4,18.3,277.0,6.9,7.1,54.0,68
Kolkata,2025-04-25 02:00:00+00:00,14.7,19.0,295.0,5.3,7.8,64.0,67
Kolkata,2025-04-25 03:00:00+00:00,15.8,20.2,304.0,4.0,8.4,74.0,66
Kolkata,2025-04-25 04:00:00+00:00,16.8,21.0,298.0,3.1,8.7,86.0,66
Kolkata,2025-04-25 05:00:00+00:00,17.8,21.9,283.0,2.4,8.8,99.0,65
Kolkata,2025-04-25 06:00:00+00:00,18.9,22.8,271.0,2.0,9.0,109.0,64
Kolkata,2025-04-25 07:00:00+00:00,19.7,23.2,264.0,1.7,9.2,116.0,64
Kolkata,2025-04-25 08:00:00+00:00,20.4,23.9,259.0,1.7,9.4,121.0,63
Kolkata,2025-04-25 09:00:00+00:00,21.4,25.1,260.0,2.2,9.6,121.0,63
Kolkata,2025-04-25 10:00:00+00:00,22.5,26.2,274.0,3.7,9.8,116.0,62
Kolkata,2025-04-25 11:00:00+00:00,22.8,26.3,293.0,5.7,9.9,106.0,62
Kolkata,2025-04-25 12:00:00+00:00,32.1,36.3,304.0,7.4,10.1,91.0,62
Kolkata,2025-04-25 13:00:00+00:00,27.1,30.9,296.0,7.4,9.2,81.0,61
Kolkata,2025-04-25 14:00:00+00:00,22.7,26.5,279.0,7.4,8.0,68.0,61
Kolkata,2025-04-25 15:00:00+00:00,20.1,23.8,265.0,7.3,6.9,58.0,61
Kolkata,2025-04-25 16:00:00+00:00,19.2,22.9,260.0,6.9,5.9,55.0,62
Kolkata,2025-04-25 17:00:00+00:00,18.0,21.6,259.0,6.3,5.0,56.0,62
Kolkata,2025-04-25 18:00:00+00:00,16.2,19.7,251.0,5.8,4.4,57.0,62
Kolkata,2025-04-25 19:00:00+00:00,15.4,19.0,228.0,5.5,4.1,57.0,62
Kolkata,2025-04-25 20:00:00+00:00,15.1,18.9,199.0,5.3,4.0,57.0,63
Kolkata,2025-04-25 21:00:00+00:00,15.0,18.9,183.0,5.2,4.1,56.0,63
Kolkata,2025-04-25 22:00:00+00:00,14.6,18.5,191.0,5.5,4.3,53.0,64
Kolkata,2025-04-25 23:00:00+00:00,14.1,18.1,213.0,5.9,4.6,50.0,64
Kolkata,2025-04-26 00:00:00+00:00,15.5,19.7,234.0,6.2,5.5,51.0,64
Kolkata,2025-04-26 01:00:00+00:00,15.7,20.0,254.0,5.4,5.7,55.0,64
Kolkata,2025-04-26 02:00:00+00:00,15.4,19.8,273.0,4.3,6.0,61.0,65
Kolkata,2025-04-26 03:00:00+00:00,15.8,20.4,282.0,3.3,6.2,68.0,65
Kolkata,2025-04-26 04:00:00+00:00,16.4,21.0,271.0,2.6,6.2,76.0,65
Kolkata,2025-04-26 05:00:00+00:00,16.9,21.7,248.0,2.0,6.1,85.0,65
Kolkata,2025-04-26 06:00:00+00:00,17.2,22.1,233.0,1.7,6.0,91.0,64
Kolkata,2025-04-26 07:00:00+00:00,17.3,22.4,227.0,1.5,5.9,94.0,64
Kolkata,2025-04-26 08:00:00+00:00,17.1,22.1,228.0,1.6,5.7,96.0,64
Kolkata,2025-04-26 09:00:00+00:00,16.6,21.4,246.0,2.0,5.6,93.0,64
Kolkata,2025-04-26 10:00:00+00:00,15.8,20.4,303.0,3.1,5.6,85.0,63
Kolkata,2025-04-26 11:00:00+00:00,14.7,18.9,376.0,4.6,5.7,73.0,63
Kolkata,2025-04-26 12:00:00+00:00,20.2,25.0,412.0,6.6,6.8,64.0,62
Kolkata,2025-04-26 13:00:00+00:00,18.7,23.1,374.0,6.6,6.6,59.0,61
Kolkata,2025-04-26 14:00:00+00:00,17.0,21.4,298.0,6.6,6.4,52.0,60
Kolkata,2025-04-26 15:00:00+00:00,15.6,19.7,240.0,6.5,6.0,47.0,60
Kolkata,2025-04-26 16:00:00+00:00,14.8,18.7,225.0,6.0,5.4,46.0,59
Kolkata,2025-04-26 17:00:00+00:00,13.3,17.2,228.0,5.3,4.7,46.0,59
Kolkata,2025-04-26 18:00:00+00:00,11.8,15.7,227.0,4.9,4.3,48.0,59
Kolkata,2025-04-26 19:00:00+00:00,12.8,16.5,211.0,5.2,4.4,51.0,58
Kolkata,2025-04-26 20:00:00+00:00,14.2,17.6,191.0,5.9,4.9,54.0,58
Kolkata,2025-04-26 21:00:00+00:00,15.4,18.8,181.0,6.5,5.3,56.0,58
Kolkata,2025-04-26 22:00:00+00:00,15.7,19.1,189.0,7.1,5.6,54.0,58
Kolkata,2025-04-26 23:00:00+00:00,15.7,19.1,208.0,7.6,6.0,51.0,58
Kolkata,2025-04-27 00:00:00+00:00,22.4,24.9,230.0,10.4,7.7,65.0,58
Kolkata,2025-04-27 01:00:00+00:00,21.5,25.4,257.0,8.9,8.3,71.0,59
Kolkata,2025-04-27 02:00:00+00:00,21.5,25.1,287.0,6.9,9.3,80.0,59
Kolkata,2025-04-27 03:00:00+00:00,22.5,26.0,309.0,5.3,10.7,91.0,60
Kolkata,2025-04-27 04:00:00+00:00,26.7,31.0,316.0,4.5,12.7,107.0,60
Kolkata,2025-04-27 05:00:00+00:00,32.6,38.0,314.0,4.2,15.1,126.0,61
Kolkata,2025-04-27 06:00:00+00:00,37.0,43.1,313.0,4.1,17.3,141.0,63
Kolkata,2025-04-27 07:00:00+00:00,39.8,46.4,311.0,3.9,19.0,151.0,64
Kolkata,2025-04-27 08:00:00+00:00,42.6,49.4,310.0,4.0,20.5,158.0,66
Kolkata,2025-04-27 09:00:00+00:00,44.9,51.9,318.0,5.5,21.6,159.0,69
Kolkata,2025-04-27 10:00:00+00:00,46.8,54.4,347.0,10.1,22.6,153.0,82
Kolkata,2025-04-27 11:00:00+00:00,50.9,58.3,386.0,16.2,23.3,141.0,98
Kolkata,2025-04-27 12:00:00+00:00,54.0,57.9,409.0,23.8,23.5,113.0,108
Kolkata,2025-04-27 13:00:00+00:00,58.8,62.6,403.0,24.8,24.4,97.0,109
Kolkata,2025-04-27 14:00:00+00:00,58.0,61.5,381.0,26.0,25.6,76.0,103
Kolkata,2025-04-27 15:00:00+00:00,53.7,56.7,362.0,26.3,25.6,59.0,89
Kolkata,2025-04-27 16:00:00+00:00,49.9,52.6,354.0,24.9,23.5,52.0,91
Kolkata,2025-04-27 17:00:00+00:00,47.6,50.4,348.0,22.5,20.2,49.0,94
Kolkata,2025-04-27 18:00:00+00:00,40.4,43.1,338.0,20.1,17.1,48.0,97
Kolkata,2025-04-27 19:00:00+00:00,33.3,35.9,313.0,17.5,14.4,48.0,99
Kolkata,2025-04-27 20:00:00+00:00,27.9,30.4,283.0,14.9,11.9,50.0,101
Kolkata,2025-04-27 21:00:00+00:00,24.9,27.4,269.0,13.1,10.1,52.0,103
Kolkata,2025-04-27 22:00:00+00:00,23.0,25.4,283.0,13.1,9.3,51.0,104
Kolkata,2025-04-27 23:00:00+00:00,22.9,25.2,313.0,14.1,9.2,50.0,105
