city,timestamp,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi
Surat,2025-04-25 00:00:00+00:00,27.1,44.8,248.0,27.3,38.5,45.0,107
Surat,2025-04-25 01:00:00+00:00,29.9,46.0,338.0,31.1,50.5,46.0,106
Surat,2025-04-25 02:00:00+00:00,34.3,49.4,487.0,36.2,66.9,48.0,105
Surat,2025-04-25 03:00:00+00:00,33.9,54.9,586.0,39.0,78.3,52.0,104
Surat,2025-04-25 04:00:00+00:00,32.7,54.6,576.0,37.1,79.6,59.0,103
Surat,2025-04-25 05:00:00+00:00,32.6,55.1,515.0,33.0,75.8,68.0,101
Surat,2025-04-25 06:00:00+00:00,33.5,56.9,470.0,30.0,73.0,75.0,99
Surat,2025-04-25 07:00:00+00:00,35.2,59.5,469.0,29.5,73.9,80.0,96
Surat,2025-04-25 08:00:00+00:00,35.6,61.5,485.0,30.2,75.7,83.0,95
Surat,2025-04-25 09:00:00+00:00,36.3,62.6,498.0,31.6,76.3,83.0,93
Surat,2025-04-25 10:00:00+00:00,36.4,62.6,511.0,34.2,74.9,79.0,91
Surat,2025-04-25 11:00:00+00:00,35.5,59.8,523.0,37.5,72.2,72.0,90
Surat,2025-04-25 12:00:00+00:00,30.4,49.2,508.0,39.0,69.9,56.0,89
Surat,2025-04-25 13:00:00+00:00,28.5,43.2,439.0,37.8,64.6,56.0,89
Surat,2025-04-25 14:00:00+00:00,26.9,39.8,344.0,36.1,57.1,57.0,89
Surat,2025-04-25 15:00:00+00:00,25.9,37.4,280.0,33.9,50.4,58.0,89
Surat,2025-04-25 16:00:00+00:00,24.9,34.7,280.0,30.9,45.3,60.0,88
Surat,2025-04-25 17:00:00+00:00,23.7,31.7,313.0,27.4,41.1,62.0,88
Surat,2025-04-25 18:00:00+00:00,21.5,28.3,339.0,24.9,38.2,63.0,88
Surat,2025-04-25 19:00:00+00:00,19.9,25.8,345.0,23.9,36.9,62.0,87
Surat,2025-04-25 20:00:00+00:00,19.4,24.7,345.0,23.9,37.0,59.0,87
Surat,2025-04-25 21:00:00+00:00,19.5,24.2,344.0,24.7,38.0,55.0,87
Surat,2025-04-25 22:00:00+00:00,20.3,24.7,348.0,26.5,38.8,50.0,86
Surat,2025-04-25 23:00:00+00:00,21.9,26.6,351.0,29.1,40.6,44.0,86
Surat,2025-04-26 00:00:00+00:00,21.8,26.9,344.0,30.1,45.9,46.0,85
Surat,2025-04-26 01:00:00+00:00,24.2,30.5,313.0,29.8,49.5,49.0,85
Surat,2025-04-26 02:00:00+00:00,26.7,35.0,273.0,29.3,54.5,54.0,84
Surat,2025-04-26 03:00:00+00:00,25.8,35.4,253.0,28.2,58.0,59.0,84
Surat,2025-04-26 04:00:00+00:00,25.3,35.0,273.0,26.0,58.3,65.0,83
Surat,2025-04-26 05:00:00+00:00,25.6,35.9,315.0,23.3,57.0,73.0,82
Surat,2025-04-26 06:00:00+00:00,26.0,36.9,352.0,21.4,56.4,78.0,82
Surat,2025-04-26 07:00:00+00:00,26.4,37.6,374.0,20.9,57.5,81.0,81
Surat,2025-04-26 08:00:00+00:00,26.6,38.1,392.0,21.2,59.2,82.0,80
Surat,2025-04-26 09:00:00+00:00,27.0,38.3,409.0,22.4,60.5,81.0,79
Surat,2025-04-26 10:00:00+00:00,27.5,38.8,430.0,24.9,61.4,76.0,79
Surat,2025-04-26 11:00:00+00:00,27.1,38.3,451.0,28.1,61.9,68.0,78
Surat,2025-04-26 12:00:00+00:00,25.5,36.3,460.0,29.3,63.0,59.0,77
Surat,2025-04-26 13:00:00+00:00,25.0,35.2,449.0,30.2,58.8,56.0,77
Surat,2025-04-26 14:00:00+00:00,25.4,37.0,426.0,31.5,53.0,53.0,76
Surat,2025-04-26 15:00:00+00:00,25.4,40.4,408.0,31.7,47.8,50.0,76
Surat,2025-04-26 16:00:00+00:00,25.6,43.7,408.0,29.9,43.9,50.0,76
Surat,2025-04-26 17:00:00+00:00,25.8,47.6,414.0,27.2,40.6,50.0,76
Surat,2025-04-26 18:00:00+00:00,25.7,49.5,401.0,25.4,38.8,50.0,76
Surat,2025-04-26 19:00:00+00:00,25.3,49.0,349.0,25.4,38.9,48.0,77
Surat,2025-04-26 20:00:00+00:00,25.0,46.8,279.0,26.3,40.5,45.0,77
Surat,2025-04-26 21:00:00+00:00,24.9,44.6,229.0,27.6,42.4,42.0,78
Surat,2025-04-26 22:00:00+00:00,24.9,42.7,217.0,29.5,44.1,39.0,78
Surat,2025-04-26 23:00:00+00:00,25.3,42.3,226.0,31.9,46.2,35.0,79
Surat,2025-04-27 00:00:00+00:00,25.6,43.7,244.0,31.2,47.1,37.0,79
Surat,2025-04-27 01:00:00+00:00,27.6,46.9,272.0,30.1,50.3,41.0,79
Surat,2025-04-27 02:00:00+00:00,29.7,52.7,309.0,28.6,54.7,46.0,80
Surat,2025-04-27 03:00:00+00:00,29.0,56.2,340.0,26.9,58.0,51.0,80
Surat,2025-04-27 04:00:00+00:00,29.2,59.8,352.0,24.7,59.0,57.0,80
Surat,2025-04-27 05:00:00+00:00,30.5,63.6,357.0,22.4,58.9,63.0,80
Surat,2025-04-27 06:00:00+00:00,32.6,68.5,377.0,20.9,59.3,68.0,81
Surat,2025-04-27 07:00:00+00:00,34.9,73.3,435.0,20.7,61.1,72.0,81
Surat,2025-04-27 08:00:00+00:00,36.2,78.0,508.0,21.4,63.3,74.0,82
Surat,2025-04-27 09:00:00+00:00,37.1,81.7,552.0,22.6,64.3,74.0,83
Surat,2025-04-27 10:00:00+00:00,36.8,81.3,543.0,24.4,63.5,70.0,84
Surat,2025-04-27 11:00:00+00:00,35.2,77.5,505.0,26.7,61.5,62.0,85
Surat,2025-04-27 12:00:00+00:00,28.3,54.8,469.0,29.0,62.7,50.0,85
Surat,2025-04-27 13:00:00+00:00,28.7,53.1,446.0,32.0,60.2,46.0,86
Surat,2025-04-27 14:00:00+00:00,29.0,51.8,425.0,36.0,56.6,40.0,86
Surat,2025-04-27 15:00:00+00:00,29.4,50.5,408.0,38.3,53.2,36.0,86
Surat,2025-04-27 16:00:00+00:00,29.3,49.6,398.0,37.1,50.4,37.0,87
Surat,2025-04-27 17:00:00+00:00,29.2,49.0,392.0,34.2,47.9,40.0,87
Surat,2025-04-27 18:00:00+00:00,28.5,47.1,377.0,31.6,45.8,42.0,87
Surat,2025-04-27 19:00:00+00:00,27.0,44.6,345.0,29.8,43.9,43.0,88
Surat,2025-04-27 20:00:00+00:00,26.0,43.0,304.0,28.4,42.3,43.0,88
Surat,2025-04-27 21:00:00+00:00,25.4,42.5,267.0,28.1,42.2,42.0,88
Surat,2025-04-27 22:00:00+00:00,26.1,44.0,235.0,29.7,43.6,39.0,88
Surat,2025-04-27 23:00:00+00:00,27.1,45.3,207.0,32.5,46.4,34.0,88
Surat,2025-04-28 00:00:00+00:00,25.8,45.1,193.0,27.7,43.1,41.0,88
Surat,2025-04-28 01:00:00+00:00,27.8,49.6,201.0,26.8,46.3,43.0,88
Surat,2025-04-28 02:00:00+00:00,29.8,54.6,224.0,25.6,50.8,46.0,88
Surat,2025-04-28 03:00:00+00:00,31.0,60.3,245.0,24.1,54.0,50.0,88
Surat,2025-04-28 04:00:00+00:00,31.1,63.6,258.0,22.2,54.7,57.0,88
Surat,2025-04-28 05:00:00+00:00,32.4,66.1,269.0,20.0,54.2,66.0,89
Surat,2025-04-28 06:00:00+00:00,33.9,69.2,284.0,18.5,53.8,73.0,89
Surat,2025-04-28 07:00:00+00:00,35.0,72.2,311.0,17.8,54.1,76.0,89
Surat,2025-04-28 08:00:00+00:00,35.3,73.1,342.0,17.7,54.4,77.0,89
Surat,2025-04-28 09:00:00+00:00,35.3,73.6,361.0,18.3,54.5,76.0,89
Surat,2025-04-28 10:00:00+00:00,35.0,72.4,358.0,20.1,54.4,72.0,89
Surat,2025-04-28 11:00:00+00:00,34.0,69.6,342.0,22.7,54.0,66.0,88
Surat,2025-04-28 12:00:00+00:00,33.3,68.0,326.0,25.3,55.9,54.0,88
Surat,2025-04-28 13:00:00+00:00,32.4,61.5,306.0,26.2,52.6,52.0,89
Surat,2025-04-28 14:00:00+00:00,31.9,58.8,286.0,27.5,47.9,50.0,89
Surat,2025-04-28 15:00:00+00:00,31.3,60.3,285.0,28.1,44.0,48.0,89
Surat,2025-04-28 16:00:00+00:00,30.4,57.6,328.0,27.2,41.2,47.0,90
Surat,2025-04-28 17:00:00+00:00,29.3,54.5,391.0,25.7,39.2,47.0,90
Surat,2025-04-28 18:00:00+00:00,28.8,53.1,422.0,25.1,38.5,46.0,90
Surat,2025-04-28 19:00:00+00:00,28.5,51.6,390.0,26.2,39.8,43.0,90
Surat,2025-04-28 20:00:00+00:00,28.9,50.4,327.0,28.2,42.5,39.0,90
Surat,2025-04-28 21:00:00+00:00,29.5,49.0,275.0,30.8,45.7,34.0,90
Surat,2025-04-28 22:00:00+00:00,30.4,48.1,246.0,34.6,49.2,28.0,90
Surat,2025-04-28 23:00:00+00:00,31.4,47.7,228.0,39.0,53.2,22.0,91
Surat,2025-04-29 00:00:00+00:00,29.1,44.0,227.0,35.2,52.4,30.0,91
Surat,2025-04-29 01:00:00+00:00,30.5,44.9,251.0,33.5,56.2,33.0,91
Surat,2025-04-29 02:00:00+00:00,32.4,46.3,291.0,31.1,61.5,37.0,92
Surat,2025-04-29 03:00:00+00:00,32.4,49.6,330.0,28.9,65.3,43.0,92
Surat,2025-04-29 04:00:00+00:00,31.5,49.9,363.0,27.2,66.4,51.0,92
Surat,2025-04-29 05:00:00+00:00,31.4,51.2,394.0,25.8,66.1,61.0,92
Surat,2025-04-29 06:00:00+00:00,33.3,53.7,415.0,24.7,65.3,69.0,92
Surat,2025-04-29 07:00:00+00:00,35.2,56.1,425.0,24.1,64.6,76.0,92
Surat,2025-04-29 08:00:00+00:00,35.7,56.1,426.0,23.8,63.4,82.0,92
Surat,2025-04-29 09:00:00+00:00,34.9,53.3,412.0,23.5,61.1,84.0,92
Surat,2025-04-29 10:00:00+00:00,32.5,48.7,371.0,23.2,56.8,81.0,92
Surat,2025-04-29 11:00:00+00:00,29.2,43.7,315.0,22.9,51.2,74.0,92
Surat,2025-04-29 12:00:00+00:00,32.7,49.2,275.0,24.6,49.4,61.0,91
Surat,2025-04-29 13:00:00+00:00,28.8,40.9,266.0,24.1,45.6,61.0,91
Surat,2025-04-29 14:00:00+00:00,26.7,35.7,273.0,23.5,40.3,60.0,91
Surat,2025-04-29 15:00:00+00:00,23.9,32.6,282.0,23.0,36.4,59.0,90
Surat,2025-04-29 16:00:00+00:00,22.2,29.8,296.0,22.6,35.1,58.0,90
Surat,2025-04-29 17:00:00+00:00,21.9,28.6,313.0,22.3,35.2,58.0,89
Surat,2025-04-29 18:00:00+00:00,21.6,27.8,313.0,22.8,36.3,56.0,88
Surat,2025-04-29 19:00:00+00:00,21.9,27.6,277.0,24.2,38.0,53.0,88
Surat,2025-04-29 20:00:00+00:00,22.8,28.2,224.0,26.3,40.7,48.0,87
Surat,2025-04-29 21:00:00+00:00,23.9,28.9,194.0,29.2,44.4,43.0,87
Surat,2025-04-29 22:00:00+00:00,25.5,30.2,207.0,33.8,49.1,36.0,86
Surat,2025-04-29 23:00:00+00:00,27.9,32.5,242.0,39.2,54.9,28.0,86
Surat,2025-04-30 00:00:00+00:00,27.8,32.5,283.0,37.3,54.0,31.0,85
Surat,2025-04-30 01:00:00+00:00,29.9,34.6,320.0,36.8,61.0,33.0,85
Surat,2025-04-30 02:00:00+00:00,33.2,38.0,363.0,36.1,70.5,37.0,85
Surat,2025-04-30 03:00:00+00:00,33.8,39.8,415.0,34.9,76.6,42.0,85
