city,timestamp,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi
Visakhapatnam,2025-04-23 00:00:00+00:00,22.0,30.0,402.0,20.5,3.7,36.0,83
Visakhapatnam,2025-04-23 01:00:00+00:00,22.6,31.8,401.0,19.0,4.9,40.0,83
Visakhapatnam,2025-04-23 02:00:00+00:00,23.3,33.2,390.0,16.3,6.7,47.0,82
Visakhapatnam,2025-04-23 03:00:00+00:00,23.3,34.2,375.0,13.8,8.2,56.0,81
Visakhapatnam,2025-04-23 04:00:00+00:00,23.7,35.4,356.0,12.0,9.5,68.0,80
Visakhapatnam,2025-04-23 05:00:00+00:00,24.6,36.6,333.0,10.5,10.6,83.0,79
Visakhapatnam,2025-04-23 06:00:00+00:00,25.5,37.6,318.0,9.3,11.3,94.0,78
Visakhapatnam,2025-04-23 07:00:00+00:00,25.8,37.8,316.0,8.3,11.3,101.0,78
Visakhapatnam,2025-04-23 08:00:00+00:00,25.4,37.3,321.0,7.6,10.8,105.0,77
Visakhapatnam,2025-04-23 09:00:00+00:00,24.6,36.3,325.0,7.9,10.1,104.0,77
Visakhapatnam,2025-04-23 10:00:00+00:00,23.2,34.7,325.0,10.0,9.2,94.0,76
Visakhapatnam,2025-04-23 11:00:00+00:00,21.4,32.4,325.0,13.2,8.2,80.0,76
Visakhapatnam,2025-04-23 12:00:00+00:00,19.3,29.2,323.0,16.5,7.4,67.0,75
Visakhapatnam,2025-04-23 13:00:00+00:00,18.6,27.8,321.0,17.5,6.4,61.0,74
Visakhapatnam,2025-04-23 14:00:00+00:00,18.2,27.4,318.0,18.8,5.0,54.0,74
Visakhapatnam,2025-04-23 15:00:00+00:00,17.9,27.2,312.0,19.5,4.0,48.0,73
Visakhapatnam,2025-04-23 16:00:00+00:00,17.7,26.8,298.0,19.0,3.7,46.0,72
Visakhapatnam,2025-04-23 17:00:00+00:00,17.3,26.2,281.0,17.9,3.8,46.0,71
Visakhapatnam,2025-04-23 18:00:00+00:00,16.5,24.8,271.0,16.9,3.8,46.0,71
Visakhapatnam,2025-04-23 19:00:00+00:00,15.8,23.5,270.0,16.0,3.6,45.0,70
Visakhapatnam,2025-04-23 20:00:00+00:00,15.5,23.1,275.0,15.1,3.4,45.0,70
Visakhapatnam,2025-04-23 21:00:00+00:00,15.6,23.2,288.0,14.8,3.2,44.0,69
Visakhapatnam,2025-04-23 22:00:00+00:00,15.6,23.2,318.0,15.7,3.0,43.0,69
Visakhapatnam,2025-04-23 23:00:00+00:00,15.8,23.5,357.0,17.1,2.9,41.0,68
Visakhapatnam,2025-04-24 00:00:00+00:00,16.6,24.4,380.0,17.9,3.3,41.0,68
Visakhapatnam,2025-04-24 01:00:00+00:00,16.9,25.8,374.0,16.0,4.7,45.0,67
Visakhapatnam,2025-04-24 02:00:00+00:00,17.2,26.5,354.0,13.3,6.7,51.0,67
Visakhapatnam,2025-04-24 03:00:00+00:00,16.8,26.4,336.0,11.1,8.3,58.0,66
Visakhapatnam,2025-04-24 04:00:00+00:00,16.7,25.6,329.0,9.7,9.3,68.0,66
Visakhapatnam,2025-04-24 05:00:00+00:00,17.1,25.3,325.0,8.8,10.0,80.0,65
